Province/State,Country/Region,Lat,Long,Date,Value
,Armenia,40.0691,45.0382,2020-02-16,0
,Armenia,40.0691,45.0382,2020-02-15,0
,Armenia,40.0691,45.0382,2020-02-14,0
,Armenia,40.0691,45.0382,2020-02-13,0
,Armenia,40.0691,45.0382,2020-02-12,0
,Armenia,40.0691,45.0382,2020-02-11,0
,Armenia,40.0691,45.0382,2020-02-10,0
,Armenia,40.0691,45.0382,2020-02-09,0
,Armenia,40.0691,45.0382,2020-02-08,0
,Armenia,40.0691,45.0382,2020-02-07,0
,Armenia,40.0691,45.0382,2020-02-06,0
,Armenia,40.0691,45.0382,2020-02-05,0
,Armenia,40.0691,45.0382,2020-02-04,0
,Armenia,40.0691,45.0382,2020-02-03,0
,Armenia,40.0691,45.0382,2020-02-02,0
,Armenia,40.0691,45.0382,2020-02-01,0
,Armenia,40.0691,45.0382,2020-01-31,0
,Armenia,40.0691,45.0382,2020-01-30,0
,Armenia,40.0691,45.0382,2020-01-29,0
,Armenia,40.0691,45.0382,2020-01-28,0
,Armenia,40.0691,45.0382,2020-01-27,0
,Armenia,40.0691,45.0382,2020-01-26,0
,Armenia,40.0691,45.0382,2020-01-25,0
,Armenia,40.0691,45.0382,2020-01-24,0
,Armenia,40.0691,45.0382,2020-01-23,0
,Armenia,40.0691,45.0382,2020-01-22,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-31,3
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-30,2
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-29,2
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-28,2
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-27,1
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-26,1
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-25,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-24,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-23,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-22,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-21,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-20,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-19,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-18,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-17,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-16,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-15,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-14,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-13,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-12,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-11,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-10,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-09,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-08,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-07,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-06,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-05,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-04,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-03,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-02,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-01,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-29,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-28,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-27,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-26,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-25,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-24,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-23,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-22,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-21,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-20,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-19,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-18,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-17,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-16,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-15,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-14,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-13,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-12,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-11,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-10,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-09,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-08,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-07,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-06,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-05,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-04,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-03,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-02,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-02-01,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-31,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-30,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-29,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-28,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-27,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-26,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-25,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-24,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-23,0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0
New South Wales,Australia,-33.8688,151.2093,2020-03-31,4
New South Wales,Australia,-33.8688,151.2093,2020-03-30,4
New South Wales,Australia,-33.8688,151.2093,2020-03-29,4
New South Wales,Australia,-33.8688,151.2093,2020-03-28,4
New South Wales,Australia,-33.8688,151.2093,2020-03-27,4
New South Wales,Australia,-33.8688,151.2093,2020-03-26,4
New South Wales,Australia,-33.8688,151.2093,2020-03-25,4
New South Wales,Australia,-33.8688,151.2093,2020-03-24,4
New South Wales,Australia,-33.8688,151.2093,2020-03-23,4
New South Wales,Australia,-33.8688,151.2093,2020-03-22,4
New South Wales,Australia,-33.8688,151.2093,2020-03-21,4
New South Wales,Australia,-33.8688,151.2093,2020-03-20,4
New South Wales,Australia,-33.8688,151.2093,2020-03-19,4
New South Wales,Australia,-33.8688,151.2093,2020-03-18,4
New South Wales,Australia,-33.8688,151.2093,2020-03-17,4
New South Wales,Australia,-33.8688,151.2093,2020-03-16,4
New South Wales,Australia,-33.8688,151.2093,2020-03-15,4
New South Wales,Australia,-33.8688,151.2093,2020-03-14,4
New South Wales,Australia,-33.8688,151.2093,2020-03-13,4
New South Wales,Australia,-33.8688,151.2093,2020-03-12,4
New South Wales,Australia,-33.8688,151.2093,2020-03-11,4
New South Wales,Australia,-33.8688,151.2093,2020-03-10,4
New South Wales,Australia,-33.8688,151.2093,2020-03-09,4
New South Wales,Australia,-33.8688,151.2093,2020-03-08,4
New South Wales,Australia,-33.8688,151.2093,2020-03-07,4
New South Wales,Australia,-33.8688,151.2093,2020-03-06,4
New South Wales,Australia,-33.8688,151.2093,2020-03-05,4
New South Wales,Australia,-33.8688,151.2093,2020-03-04,4
New South Wales,Australia,-33.8688,151.2093,2020-03-03,4
New South Wales,Australia,-33.8688,151.2093,2020-03-02,4
New South Wales,Australia,-33.8688,151.2093,2020-03-01,4
New South Wales,Australia,-33.8688,151.2093,2020-02-29,4
New South Wales,Australia,-33.8688,151.2093,2020-02-28,4
New South Wales,Australia,-33.8688,151.2093,2020-02-27,4
New South Wales,Australia,-33.8688,151.2093,2020-02-26,4
New South Wales,Australia,-33.8688,151.2093,2020-02-25,4
New South Wales,Australia,-33.8688,151.2093,2020-02-24,4
New South Wales,Australia,-33.8688,151.2093,2020-02-23,4
New South Wales,Australia,-33.8688,151.2093,2020-02-22,4
New South Wales,Australia,-33.8688,151.2093,2020-02-21,4
New South Wales,Australia,-33.8688,151.2093,2020-02-20,4
New South Wales,Australia,-33.8688,151.2093,2020-02-19,4
New South Wales,Australia,-33.8688,151.2093,2020-02-18,4
New South Wales,Australia,-33.8688,151.2093,2020-02-17,4
New South Wales,Australia,-33.8688,151.2093,2020-02-16,4
New South Wales,Australia,-33.8688,151.2093,2020-02-15,4
New South Wales,Australia,-33.8688,151.2093,2020-02-14,4
New South Wales,Australia,-33.8688,151.2093,2020-02-13,4
New South Wales,Australia,-33.8688,151.2093,2020-02-12,2
New South Wales,Australia,-33.8688,151.2093,2020-02-11,2
New South Wales,Australia,-33.8688,151.2093,2020-02-10,2
New South Wales,Australia,-33.8688,151.2093,2020-02-09,2
New South Wales,Australia,-33.8688,151.2093,2020-02-08,2
New South Wales,Australia,-33.8688,151.2093,2020-02-07,2
New South Wales,Australia,-33.8688,151.2093,2020-02-06,2
New South Wales,Australia,-33.8688,151.2093,2020-02-05,2
New South Wales,Australia,-33.8688,151.2093,2020-02-04,2
New South Wales,Australia,-33.8688,151.2093,2020-02-03,2
New South Wales,Australia,-33.8688,151.2093,2020-02-02,2
New South Wales,Australia,-33.8688,151.2093,2020-02-01,2
New South Wales,Australia,-33.8688,151.2093,2020-01-31,2
New South Wales,Australia,-33.8688,151.2093,2020-01-30,2
New South Wales,Australia,-33.8688,151.2093,2020-01-29,0
New South Wales,Australia,-33.8688,151.2093,2020-01-28,0
New South Wales,Australia,-33.8688,151.2093,2020-01-27,0
New South Wales,Australia,-33.8688,151.2093,2020-01-26,0
New South Wales,Australia,-33.8688,151.2093,2020-01-25,0
New South Wales,Australia,-33.8688,151.2093,2020-01-24,0
New South Wales,Australia,-33.8688,151.2093,2020-01-23,0
New South Wales,Australia,-33.8688,151.2093,2020-01-22,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-31,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-30,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-29,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-28,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-27,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-26,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-25,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-24,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-23,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-22,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-21,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-20,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-19,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-18,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-17,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-16,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-15,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-14,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-13,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-12,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-11,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-10,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-09,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-08,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-07,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-06,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-05,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-04,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-03,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-02,0
Northern Territory,Australia,-12.4634,130.8456,2020-03-01,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-29,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-28,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-27,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-26,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-25,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-24,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-23,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-22,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-21,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-20,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-19,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-18,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-17,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-16,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-15,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-14,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-13,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-12,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-11,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-10,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-09,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-08,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-07,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-06,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-05,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-04,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-03,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-02,0
Northern Territory,Australia,-12.4634,130.8456,2020-02-01,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-31,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-30,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-29,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-28,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-27,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-26,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-25,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-24,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-23,0
Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0
Queensland,Australia,-28.0167,153.4,2020-03-31,8
Queensland,Australia,-28.0167,153.4,2020-03-30,8
Queensland,Australia,-28.0167,153.4,2020-03-29,8
Queensland,Australia,-28.0167,153.4,2020-03-28,8
Queensland,Australia,-28.0167,153.4,2020-03-27,8
Queensland,Australia,-28.0167,153.4,2020-03-26,8
Queensland,Australia,-28.0167,153.4,2020-03-25,8
Queensland,Australia,-28.0167,153.4,2020-03-24,8
Queensland,Australia,-28.0167,153.4,2020-03-23,8
Queensland,Australia,-28.0167,153.4,2020-03-22,8
Queensland,Australia,-28.0167,153.4,2020-03-21,8
Queensland,Australia,-28.0167,153.4,2020-03-20,8
Queensland,Australia,-28.0167,153.4,2020-03-19,8
Queensland,Australia,-28.0167,153.4,2020-03-18,8
Queensland,Australia,-28.0167,153.4,2020-03-17,8
Queensland,Australia,-28.0167,153.4,2020-03-16,8
Queensland,Australia,-28.0167,153.4,2020-03-15,8
Queensland,Australia,-28.0167,153.4,2020-03-14,8
Queensland,Australia,-28.0167,153.4,2020-03-13,8
Queensland,Australia,-28.0167,153.4,2020-03-12,8
Queensland,Australia,-28.0167,153.4,2020-03-11,8
Queensland,Australia,-28.0167,153.4,2020-03-10,8
Queensland,Australia,-28.0167,153.4,2020-03-09,8
Queensland,Australia,-28.0167,153.4,2020-03-08,8
Queensland,Australia,-28.0167,153.4,2020-03-07,8
Queensland,Australia,-28.0167,153.4,2020-03-06,8
Queensland,Australia,-28.0167,153.4,2020-03-05,8
Queensland,Australia,-28.0167,153.4,2020-03-04,1
Queensland,Australia,-28.0167,153.4,2020-03-03,1
Queensland,Australia,-28.0167,153.4,2020-03-02,1
Queensland,Australia,-28.0167,153.4,2020-03-01,1
Queensland,Australia,-28.0167,153.4,2020-02-29,1
Queensland,Australia,-28.0167,153.4,2020-02-28,1
Queensland,Australia,-28.0167,153.4,2020-02-27,1
Queensland,Australia,-28.0167,153.4,2020-02-26,1
Queensland,Australia,-28.0167,153.4,2020-02-25,1
Queensland,Australia,-28.0167,153.4,2020-02-24,1
Queensland,Australia,-28.0167,153.4,2020-02-23,1
Queensland,Australia,-28.0167,153.4,2020-02-22,1
Queensland,Australia,-28.0167,153.4,2020-02-21,1
Queensland,Australia,-28.0167,153.4,2020-02-20,0
Queensland,Australia,-28.0167,153.4,2020-02-19,0
Queensland,Australia,-28.0167,153.4,2020-02-18,0
Queensland,Australia,-28.0167,153.4,2020-02-17,0
Queensland,Australia,-28.0167,153.4,2020-02-16,0
Queensland,Australia,-28.0167,153.4,2020-02-15,0
Queensland,Australia,-28.0167,153.4,2020-02-14,0
Queensland,Australia,-28.0167,153.4,2020-02-13,0
Queensland,Australia,-28.0167,153.4,2020-02-12,0
Queensland,Australia,-28.0167,153.4,2020-02-11,0
Queensland,Australia,-28.0167,153.4,2020-02-10,0
Queensland,Australia,-28.0167,153.4,2020-02-09,0
Queensland,Australia,-28.0167,153.4,2020-02-08,0
Queensland,Australia,-28.0167,153.4,2020-02-07,0
Queensland,Australia,-28.0167,153.4,2020-02-06,0
Queensland,Australia,-28.0167,153.4,2020-02-05,0
Queensland,Australia,-28.0167,153.4,2020-02-04,0
Queensland,Australia,-28.0167,153.4,2020-02-03,0
Queensland,Australia,-28.0167,153.4,2020-02-02,0
Queensland,Australia,-28.0167,153.4,2020-02-01,0
Queensland,Australia,-28.0167,153.4,2020-01-31,0
Queensland,Australia,-28.0167,153.4,2020-01-30,0
Queensland,Australia,-28.0167,153.4,2020-01-29,0
Queensland,Australia,-28.0167,153.4,2020-01-28,0
Queensland,Australia,-28.0167,153.4,2020-01-27,0
Queensland,Australia,-28.0167,153.4,2020-01-26,0
Queensland,Australia,-28.0167,153.4,2020-01-25,0
Queensland,Australia,-28.0167,153.4,2020-01-24,0
Queensland,Australia,-28.0167,153.4,2020-01-23,0
Queensland,Australia,-28.0167,153.4,2020-01-22,0
South Australia,Australia,-34.9285,138.6007,2020-03-31,6
South Australia,Australia,-34.9285,138.6007,2020-03-30,6
South Australia,Australia,-34.9285,138.6007,2020-03-29,6
South Australia,Australia,-34.9285,138.6007,2020-03-28,6
South Australia,Australia,-34.9285,138.6007,2020-03-27,6
South Australia,Australia,-34.9285,138.6007,2020-03-26,6
South Australia,Australia,-34.9285,138.6007,2020-03-25,6
South Australia,Australia,-34.9285,138.6007,2020-03-24,3
South Australia,Australia,-34.9285,138.6007,2020-03-23,3
South Australia,Australia,-34.9285,138.6007,2020-03-22,3
South Australia,Australia,-34.9285,138.6007,2020-03-21,3
South Australia,Australia,-34.9285,138.6007,2020-03-20,3
South Australia,Australia,-34.9285,138.6007,2020-03-19,3
South Australia,Australia,-34.9285,138.6007,2020-03-18,3
South Australia,Australia,-34.9285,138.6007,2020-03-17,3
South Australia,Australia,-34.9285,138.6007,2020-03-16,3
South Australia,Australia,-34.9285,138.6007,2020-03-15,3
South Australia,Australia,-34.9285,138.6007,2020-03-14,3
South Australia,Australia,-34.9285,138.6007,2020-03-13,3
South Australia,Australia,-34.9285,138.6007,2020-03-12,2
South Australia,Australia,-34.9285,138.6007,2020-03-11,2
South Australia,Australia,-34.9285,138.6007,2020-03-10,2
South Australia,Australia,-34.9285,138.6007,2020-03-09,2
South Australia,Australia,-34.9285,138.6007,2020-03-08,2
South Australia,Australia,-34.9285,138.6007,2020-03-07,2
South Australia,Australia,-34.9285,138.6007,2020-03-06,2
South Australia,Australia,-34.9285,138.6007,2020-03-05,2
South Australia,Australia,-34.9285,138.6007,2020-03-04,2
South Australia,Australia,-34.9285,138.6007,2020-03-03,2
South Australia,Australia,-34.9285,138.6007,2020-03-02,2
South Australia,Australia,-34.9285,138.6007,2020-03-01,2
South Australia,Australia,-34.9285,138.6007,2020-02-29,2
South Australia,Australia,-34.9285,138.6007,2020-02-28,2
South Australia,Australia,-34.9285,138.6007,2020-02-27,2
South Australia,Australia,-34.9285,138.6007,2020-02-26,2
South Australia,Australia,-34.9285,138.6007,2020-02-25,2
South Australia,Australia,-34.9285,138.6007,2020-02-24,2
South Australia,Australia,-34.9285,138.6007,2020-02-23,2
South Australia,Australia,-34.9285,138.6007,2020-02-22,2
South Australia,Australia,-34.9285,138.6007,2020-02-21,2
South Australia,Australia,-34.9285,138.6007,2020-02-20,2
South Australia,Australia,-34.9285,138.6007,2020-02-19,2
South Australia,Australia,-34.9285,138.6007,2020-02-18,2
South Australia,Australia,-34.9285,138.6007,2020-02-17,2
South Australia,Australia,-34.9285,138.6007,2020-02-16,0
South Australia,Australia,-34.9285,138.6007,2020-02-15,0
South Australia,Australia,-34.9285,138.6007,2020-02-14,0
South Australia,Australia,-34.9285,138.6007,2020-02-13,0
South Australia,Australia,-34.9285,138.6007,2020-02-12,0
South Australia,Australia,-34.9285,138.6007,2020-02-11,0
South Australia,Australia,-34.9285,138.6007,2020-02-10,0
South Australia,Australia,-34.9285,138.6007,2020-02-09,0
South Australia,Australia,-34.9285,138.6007,2020-02-08,0
South Australia,Australia,-34.9285,138.6007,2020-02-07,0
South Australia,Australia,-34.9285,138.6007,2020-02-06,0
South Australia,Australia,-34.9285,138.6007,2020-02-05,0
South Australia,Australia,-34.9285,138.6007,2020-02-04,0
South Australia,Australia,-34.9285,138.6007,2020-02-03,0
South Australia,Australia,-34.9285,138.6007,2020-02-02,0
South Australia,Australia,-34.9285,138.6007,2020-02-01,0
South Australia,Australia,-34.9285,138.6007,2020-01-31,0
South Australia,Australia,-34.9285,138.6007,2020-01-30,0
South Australia,Australia,-34.9285,138.6007,2020-01-29,0
South Australia,Australia,-34.9285,138.6007,2020-01-28,0
South Australia,Australia,-34.9285,138.6007,2020-01-27,0
South Australia,Australia,-34.9285,138.6007,2020-01-26,0
South Australia,Australia,-34.9285,138.6007,2020-01-25,0
South Australia,Australia,-34.9285,138.6007,2020-01-24,0
South Australia,Australia,-34.9285,138.6007,2020-01-23,0
South Australia,Australia,-34.9285,138.6007,2020-01-22,0
Tasmania,Australia,-41.4545,145.9707,2020-03-31,5
Tasmania,Australia,-41.4545,145.9707,2020-03-30,5
Tasmania,Australia,-41.4545,145.9707,2020-03-29,5
Tasmania,Australia,-41.4545,145.9707,2020-03-28,5
Tasmania,Australia,-41.4545,145.9707,2020-03-27,3
Tasmania,Australia,-41.4545,145.9707,2020-03-26,3
Tasmania,Australia,-41.4545,145.9707,2020-03-25,3
Tasmania,Australia,-41.4545,145.9707,2020-03-24,3
Tasmania,Australia,-41.4545,145.9707,2020-03-23,3
Tasmania,Australia,-41.4545,145.9707,2020-03-22,3
Tasmania,Australia,-41.4545,145.9707,2020-03-21,3
Tasmania,Australia,-41.4545,145.9707,2020-03-20,3
Tasmania,Australia,-41.4545,145.9707,2020-03-19,3
Tasmania,Australia,-41.4545,145.9707,2020-03-18,0
Tasmania,Australia,-41.4545,145.9707,2020-03-17,0
Tasmania,Australia,-41.4545,145.9707,2020-03-16,0
Tasmania,Australia,-41.4545,145.9707,2020-03-15,0
Tasmania,Australia,-41.4545,145.9707,2020-03-14,0
Tasmania,Australia,-41.4545,145.9707,2020-03-13,0
Tasmania,Australia,-41.4545,145.9707,2020-03-12,0
Tasmania,Australia,-41.4545,145.9707,2020-03-11,0
Tasmania,Australia,-41.4545,145.9707,2020-03-10,0
Tasmania,Australia,-41.4545,145.9707,2020-03-09,0
Tasmania,Australia,-41.4545,145.9707,2020-03-08,0
